	Date	Sentence	SentenceCtxt	SentenceId	TargetExpression	animacy	humanness
25	1879	One fine sunny morning, when Miss Owen and Miss Saville were sauntering to and fro on the lawn, Llew ellyn walked leisurely up to them, puffing away at his cigar like a veritable ***locomotive*** .	"They now exchanged cards and giving each other a short resume of their respective positions and status in this world of conventionalities, which appeared satisfactory to both sides, separated for the time. [SEP] One fine sunny morning, when Miss Owen and Miss Saville were sauntering to and fro on the lawn, Llew ellyn walked leisurely up to them, puffing away at his cigar like a veritable ***locomotive*** . [SEP] ""Boreu da, (good morning) fafr sylphs of the wood ; may I make a third in your consultations?"""	003163747_01_70_6	locomotive	1.0	0.0
26	1894	3 Co., by one of the ***engines*** running over him, and steps were thereupon immedia tely taken to put a stop to the practice.	This resulted early in the year, in the death of Terence Meehan, fireman, of No. [SEP] 3 Co., by one of the ***engines*** running over him, and steps were thereupon immedia tely taken to put a stop to the practice. [SEP] For this purpose a penalty of £5 was to be imposed upon any company which was constructed for the use of No.	003120574_02_55_11	engines	0.0	0.0
27	1893	The worst of it was, the people were surly ; not one would get out of our way until the last minute, and many pretended not to see us coming, though the ***machine*** , held in by the brake, squeaked a pitiful warning.	"Sometimes one man followed half-a-dozen cows, sometimes one cow was followed by half-a-dozen men.— In donkey-carts women rode alone, the men, whip in hand, walking by their side ; and in waggons drawn by oxen were young pigs, or else an old woman and a refractory calf sitting together on the straw.— On footpaths across the fields, or on distant roads, more peasants were walking away, cattle at their heels.— The nearer we came to the town, the greater was the crowd. [SEP] The worst of it was, the people were surly ; not one would get out of our way until the last minute, and many pretended not to see us coming, though the ***machine*** , held in by the brake, squeaked a pitiful warning. [SEP] Finally, in the street of La Palisse, we could hardly get on for the cows and oxen, and donkeys and people. """	002816150_01_196_3	machine	1.0	1.0
28	1891	"That was well, said I ; "" No, not so well,"" said he ; "" For I and her own brother This live automaton, who seem'd To move by clockwork, ever keen To live upon the saving plan, Had soon the honour to be deem'd That selfish, heartless, cold ***machine*** , Call'd in the city ‚Äî a warm man."	"No, not so bad,"" said he ; "" for, with her true I had both house and land, and money too."" [SEP] That was well, said I ; "" No, not so well,"" said he ; "" For I and her own brother This live automaton, who seem'd To move by clockwork, ever keen To live upon the saving plan, Had soon the honour to be deem'd That selfish, heartless, cold ***machine*** , Call'd in the city ‚Äî a warm man. [SEP] A Bank Director once, who dwelt at Chigwell, Prim to a turtle feast invited, And as the reader knows the prig well, I need not say he went delighted !"	002491363_01_681_18	machine	1.0	0.0
29	1820	It is more like the oil which enables a ***machine*** to run glibly : or it maybe said to act like the fly-wheel in mechanics, which is employed to accumulate and distribute a 1 See Part ii.	Habit is not a motive power, though it greatly facilitates all operations. [SEP] It is more like the oil which enables a ***machine*** to run glibly : or it maybe said to act like the fly-wheel in mechanics, which is employed to accumulate and distribute a 1 See Part ii. [SEP] • Horsley, Sermon xxviii.	002817290_01_51_10	machine	0.0	0.0
30	1883	"Tfie words of tfie founder on fianding over the new statutes to the members in 1864 are well worthy of citation here : ‚Äî "" ' The members of the Mutual Aid Society are no longer mere journeymen who act like ***machines*** and quit their work before the clock has sounded its last stroke."	"registered as an incorporated society, and made a perpetual sleeping partner ( commanditairc ) in tfie firm of 'Leclaire et Compagnie.' [SEP] Tfie words of tfie founder on fianding over the new statutes to the members in 1864 are well worthy of citation here : ‚Äî "" ' The members of the Mutual Aid Society are no longer mere journeymen who act like ***machines*** and quit their work before the clock has sounded its last stroke. [SEP] All have become partners working on their own account : in virtue of this, nothing in the workshop ought to be indifferent to tfiem ; all sliould attend to the preservation of the tools and materials as if they were the special keepers of them If you wish that I should leave this world with a contented heart, it is necessary that you shoidd have realized the dream of my whole life ; it is necessary that, after regular conduct and assiduous labour, a workman and his wife should have the wherewithal to live in peace witfiout being a burden upon any one.'"	002932979_02_430_2	machines	1.0	0.0
31	1890	"The girl was very angry, she was more than angry, for she suddenly understood her position ; the Marquise wanted to use her like a ***machine*** . """	"She went out without waiting for Liline's answer, and it was as well. [SEP] The girl was very angry, she was more than angry, for she suddenly understood her position ; the Marquise wanted to use her like a ***machine*** . "" [SEP] Unkind old woman,"" she said to herself; "" does she suppose that any one so young and so beautiful as I am can like to be cooped up only to write down ridiculous verses ? """	002333296_01_65_7	machine	1.0	0.0
32	1851	It is a gross mistake to imagine the British soldier a mere ***machine*** , as some Gallicized writers have been pleased to represent him.	The spirit of improvement has since the Peace, and more especially within the last ten years, been working a wonderful change in the character of this army. [SEP] It is a gross mistake to imagine the British soldier a mere ***machine*** , as some Gallicized writers have been pleased to represent him. [SEP] But yet much remains to be accomplished.	001988615_01_115_12	machine	1.0	0.0
33	1878	Portals they passed, where, deep within, Spoke prisoner's moan ar.d fetters' din ; Through ragged vaults, where, loosely stored Lay wheel, and axe, and headsman's sword, And many an hideous ***engine*** grim, For wrenching joint, and crushing limb, By artists formed, who deemed it shame And sir to give their work a name.	— Then, from a rusted iron hook, A bunch of ponderous keys he took, Lighted a torch, and Allan led Through grated arch and passage dread. [SEP] Portals they passed, where, deep within, Spoke prisoner's moan ar.d fetters' din ; Through ragged vaults, where, loosely stored Lay wheel, and axe, and headsman's sword, And many an hideous ***engine*** grim, For wrenching joint, and crushing limb, By artists formed, who deemed it shame And sir to give their work a name. [SEP] They halted at a low-browed porch, And Brent to Allan gave the torch, While bolt and chain he backward rolled, And made the bar unhasp its hold.	003316959_01_283_9	engine	1.0	1.0
34	1867	The same ***engines*** Avhich Lamont describes have been at work for 200 years at least in Spitzbergen.	"A great deal has been added by later Avriters, but very little of this account has been contradicted. [SEP] The same ***engines*** Avhich Lamont describes have been at work for 200 years at least in Spitzbergen. [SEP] The best-know-n book, and perhaps the best wliich treats of arctic ice, is Scoresby's first volume* It contains, in a con densed form, the experience of a shrewd, scientific, practical observer, who had made seventeen voyages to the Spitzbergen or "" Greenland whale-fishery ;"" and who seems, also, to have read all that had then been written about his subject."	000585731_01_424_5	engines	0.0	0.0
35	1855	215 leur, which the Russian never learns, for he is nothing but a ***machine*** .	HISTORY OF THE WAR AGAINST RUSSIA. [SEP] 215 leur, which the Russian never learns, for he is nothing but a ***machine*** . [SEP] The Turkish soldier defends walls and entrenchments with a love of the sport, in which he is only probably sur passed by the Spaniards ; while the Russian is perfectly helpless in an attack on strong places.	002666158_01_281_3	machine	1.0	0.0
36	1867	Happy is the Kerry maiden, who, having no dog-menial, like her Dutch sister, plays the part of ***machine*** for no more than an hour at furthest.	Little does that dairymaid know her own bliss, unless she has known what it is to stand churning three, four, five hours, obtaining nothing but froth, fancying she feels the thickening ofthe milk, and finding, like Dr. Johnson, 'nothing ensue,' till she hopes that nobody will speak to her because, hot, tired, worried as she is, she does not think she could speak without crying. [SEP] Happy is the Kerry maiden, who, having no dog-menial, like her Dutch sister, plays the part of ***machine*** for no more than an hour at furthest. [SEP] The 'butter never fails to be good, she says: a marvel full as great as the gliding of a scarlet coat and a 'three-cocked hat' over the lake.	001360987_01_159_7	machine	1.0	0.0
37	1855	There had been launched at Glasgow, two years before, a small steamer of seventy tons burthen, called the ' Argyle,' with seventy-nine feet keel, sixteen feet beam, ***engines*** of fourteen horse-power, paddle-wheels of nine feet diameter, two cabins, a funnel that served also as a mast, and a projecting gallery upon which the cabin-windows looked out ‚Äî altogether a vessel of very superior build for those days.	Having served in the royal navy, and being in London in 1815, an application was made to him to navigate a steamer from the Clyde to the Thames — an enterprise in steaming far beyond anything that had been up to that time attempted. [SEP] There had been launched at Glasgow, two years before, a small steamer of seventy tons burthen, called the ' Argyle,' with seventy-nine feet keel, sixteen feet beam, ***engines*** of fourteen horse-power, paddle-wheels of nine feet diameter, two cabins, a funnel that served also as a mast, and a projecting gallery upon which the cabin-windows looked out ‚Äî altogether a vessel of very superior build for those days. [SEP] After running for more than a year on the Clyde, the 'Argyle' was purchased by a London com pany to ply on the Margate route ; and it was to bring this steamer from Glasgow to London that Dodd's services were required.	000811462_06_879_19	engines	0.0	0.0
38	1856	And the money-making ***machine*** rose and dismissed them as he had received them with a short sharp business conge.	Good morning, gentlemen.' [SEP] And the money-making ***machine*** rose and dismissed them as he had received them with a short sharp business conge. [SEP] Ye fair, who turn a shop head over heels, maul sixty yards of ribbon and buy six, which being sent home insatiable becomes your desire to change it for other six which you had fairly, closely, and with all the powers of your mind compared with it during the seventy minutes the purchase occupied, let me respectfully inform you that the above business took just eight minutes, and that ' when it was done 'twas done ' {Shakespeare). '	003051910_03_23_6	machine	1.0	1.0
39	1890	25 distinction of officer and private is broadly drawn, where the private soldier is little more than a ***machine*** in the hands of his commander, the effect may even be the other way.	I.I THE ENGLISH CONQUEST. [SEP] 25 distinction of officer and private is broadly drawn, where the private soldier is little more than a ***machine*** in the hands of his commander, the effect may even be the other way. [SEP] But in an earlier state of things, where victory depends on the individual prowess of each man, nothing can be more levelling than warfare.	001318282_01_45_1	machine	1.0	0.0
40	1884	In his professional as well as in his political life he has worked with the regularity and steadiness of a ***machine*** .	228 and heard. [SEP] In his professional as well as in his political life he has worked with the regularity and steadiness of a ***machine*** . [SEP] With the exception of a trip to England, made five-and-thirty years ago or more, I don't think he has even taken a long holiday, and he certainly looks as if he had never needed one.	000806472_01_240_1	machine	1.0	0.0
41	1862	Here is a stranger seeks to know what we are doing,' and the two ***machines*** were tickled that there should be a man who did not know something they happened to know.	AATiy we — Dost hear, Jacques? [SEP] Here is a stranger seeks to know what we are doing,' and the two ***machines*** were tickled that there should be a man who did not know something they happened to know. [SEP] In all ages this has tickled.	003051826_01_311_6	machines	1.0	1.0
42	1891	They did not dare to speak even to each other, but signed to each other for things they wanted, and worked like so many ***machines*** , fearing even to turn their eyes to- wards her.	The presence among them of this one tragic face, perfectly colourless, self-com- manded, silent, wrapped in an abstraction which nobody could penetrate, had the strangest impressive effect upon them. [SEP] They did not dare to speak even to each other, but signed to each other for things they wanted, and worked like so many ***machines*** , fearing even to turn their eyes to- wards her. [SEP] Miss Jean, quite unable to control herself after this mysterious blow which she had given without knowing, had retired to the parlour, where she sat alone and cried, she knew not why.	002703881_01_255_13	machines	1.0	0.0
43	1890	"and they both laughed al most as loudly as the ***machinery*** roared, and mopped their foreheads. """	"the second one said : "" So it is ! "" [SEP] and they both laughed al most as loudly as the ***machinery*** roared, and mopped their foreheads. "" [SEP] We see there was a light burning across the road and we were sleeping in that ditch there for coolness, and I said to my friend here : ' The office is open."	001973093_01_81_12	machinery	0.0	0.0
44	1855	In thick and foggy weather a bell will be tolled by ***machinery*** , night and day, at intervals of half a minute.	The coloured light, being less powerful, may not he seen when the bright light is first noticed ; but the periodical revolution of the bright light will hi sufficiently distinguishable. [SEP] In thick and foggy weather a bell will be tolled by ***machinery*** , night and day, at intervals of half a minute. [SEP] At Arbroatb each of the light keepers has a house provided for his family.	003009540_01_111_38	machinery	0.0	0.0
45	1852	"That is a most singular young man, soliloquised Frere, as he took down and unrolled a Persian manuscript ; "" very hke an excitable steam- ***engine*** with an ill-regulated safety-valve, in disposition ; I only hope he won't blow up bodily while I have the care of him."	"Well, good-bye till dinner-time,"" responded Lewis, leaving the room ; "" I won't punish your carpet any longer ; — Come, Faust !"" [SEP] That is a most singular young man, soliloquised Frere, as he took down and unrolled a Persian manuscript ; "" very hke an excitable steam- ***engine*** with an ill-regulated safety-valve, in disposition ; I only hope he won't blow up bodily while I have the care of him. [SEP] He is a fine fellow, too, and it's impossible not to be very fond of him, — but he's an awful responsibility for a quiet man to have thrust upon him."""	003410617_01_95_20	engine	0.0	0.0
46	1844	‚Äî tho' I never was there, An account most exact have I heard of your kitchen ; Brown roast meat the cook would continually bear ; The black ***boilers*** were never without a good flitch in, The cock of the beer barrel never ceased flowing, And should there of strangers walk in a whole score No person would ask them, whence coming, where going ?	My love and my darling ! [SEP] ‚Äî tho' I never was there, An account most exact have I heard of your kitchen ; Brown roast meat the cook would continually bear ; The black ***boilers*** were never without a good flitch in, The cock of the beer barrel never ceased flowing, And should there of strangers walk in a whole score No person would ask them, whence coming, where going ? [SEP] But place them at table without a word more ; And there they might eat of whatever they pleased, Nor would they in the morning be with a bill teazed.	000822638_01_132_2	boilers	0.0	0.0
47	1895	Utilizing among others the inventions of Dr. C. W. Siemens, Mr. Charles G. Brush, of Cleveland, O., gave to the Avorld in 1875 his remarkably efficient ***dynamo*** or genera tor, and from that time the illumination of streets and squares by electricity began to be somewhat common.	The possibility of producing a brilliant light Avith this fluid had been Avell known to physicists ever since Sir Humphry Davy's experiments in 1813, but no method of generating the electricity cheaply had hitherto been invented. [SEP] Utilizing among others the inventions of Dr. C. W. Siemens, Mr. Charles G. Brush, of Cleveland, O., gave to the Avorld in 1875 his remarkably efficient ***dynamo*** or genera tor, and from that time the illumination of streets and squares by electricity began to be somewhat common. [SEP] There Avas, to be sure, another difficulty to be overcome, even for lighting on a gi'and scale, that of maintaining a stead}- and continuous light.	000084719_02_311_4	dynamo	0.0	0.0
48	1868	), surrounded by the dwellings of the officers and men, offices, workshops, sheds for the ***engines*** , etc., and stables for the horses required.	In January 1865 the chief fire-station was removed thence to extensive and well-arranged premises in .lack son's Row, Albert Square, erected for the purpose, consisting of a spacious court-yard (for drilling the firemen, etc. [SEP] ), surrounded by the dwellings of the officers and men, offices, workshops, sheds for the ***engines*** , etc., and stables for the horses required. [SEP] Next the street are the outer gates of the yard and the office of the chief superintendent, Mr. Alfred Tozer, with his residence adjoining.	000173480_01_418_15	engines	0.0	0.0
49	1871	It may be conceded that Mr. Sommeiller has constructed au inge- nious ***machine*** which fulfills the following conditions: 1.	Then the clutch box, impelled by the spring, catches and turns the screw, and the striking cylinder advances till the fork is caught by the following tooth of the rack, and thus disengages the clutch. [SEP] It may be conceded that Mr. Sommeiller has constructed au inge- nious ***machine*** which fulfills the following conditions: 1. [SEP] It strikes hard and rapid blows upon the rock.	000370570_01_55_18	machine	1.0	1.0
50	1882	And I assure your lordship, it will be no small encouragement to the subject to see justice done upon that great ***engine*** , the Lord Strafford, who hath in a manner battered down their laws and liberties, and levelled ‚Ä¢In the forty-first EUzabeth, the Attorney- General prosecuted, in the Duchy Court, Thomas Matthew, Robert Matthew, John Benson, and others, for intrusion thereon, and for the felling and destruction of timber.	"Writing to Lord Fairfax, with whom he appears to have been in close intimacy, he thus expresses himself, in reference to the trial of Lord Strafford: — ""April 10th, 1641. [SEP] And I assure your lordship, it will be no small encouragement to the subject to see justice done upon that great ***engine*** , the Lord Strafford, who hath in a manner battered down their laws and liberties, and levelled ‚Ä¢In the forty-first EUzabeth, the Attorney- General prosecuted, in the Duchy Court, Thomas Matthew, Robert Matthew, John Benson, and others, for intrusion thereon, and for the felling and destruction of timber. [SEP] — Cal."	001484578_01_231_8	engine	1.0	1.0
