record_id,title,author,date,place,country,language,publisher,genre,n_annotations
14617192,The Equality of Mankind,"Wodhull, Michael",1799,London,England,English,,Fiction,3
14622865,"A critique on the performance of Master Herbert, the Youthful Roscius [By John Cole.]","Herbert, Henry, called 'the Infant Roscius'",1830,Scarborough,England,English,,Non-fiction,3
14622976,"Sailing Directions for the S.C. and its entrances at Port Saïd and Suez, with short notes on the Gulf of Suez, Jubal Strait, etc",,1870,London,England,English,,Non-fiction,4
14628768,"'Little Feet.' [A collection of verses, with illustrations.]","Briggs, Edith",1893,London,England,English,"Simpkin, Marshall",Fiction,5
14635292,Little Betty's Kitten tells her Story,"Burnett, Frances Hodgson",1894,London,England,English,F. Warne,Fiction,5
14643463,Verses,"Mackenna, Robert William",1897,Edinburgh,Scotland,English,W. Bryce,Fiction,4
14643548,Ver Lyræ. Selected poems ... With seven new lyrics,"Robinson, afterwards Newton-Robinson, Charles Edmund",1896,London,England,English,Lawrence & Bullen,Fiction,5
14750925,"Guide for Tourists to Peking and its environs. With a plan, etc",,1876,Hongkong,,English,'China Mail' Office,Non-fiction,4
14750943,"The Social Emancipation of the Gipsies, especially those of mixed blood, and resembling and living like other people, etc","Simson, James",1895,New York,United States of America,English,E. O. Jenkins',Non-fiction,3
14750976,"A Hand-Book to Auckland, New Zealand","Algar, Frederic",1870,London,England,English,Australian & New Zealand Gazette,Non-fiction,5
14756105,"Guide to Sevenoaks and the neighbourhood, by Cid",,1864,Sevenoaks,England,English,G. W. Harrison,Non-fiction,3
14756114,"The Ethnological Exhibitions of London, etc","Conolly, John",1855,London,England,English,John Churchill,Non-fiction,3
14756128,Route for a Month's Tour through the Alps of Switzerland,"Dana, James Dwight",1871,New Haven,United States of America,English,Charles C. Chatfield,Non-fiction,3
14756153,"Observation on improvements of the town of Manchester, etc","Fairbairn, William, Sir",1836,Manchester,,English,,Non-fiction,4
14756244,"Widford and Widford Church, Hertfordshire ... With an explanation of her recently completed painting by F. C. H. Gosselin","Lockwood, John Traviss",1883,Hertford,,English,A. Knight,Non-fiction,5
14756277,"Penzance; past and present. A lecture ... Illustrated, etc","Millett, George Bown",1876,Penzance,England,English,Beare,Non-fiction,5
14756278,Penzance. ... A second lecture ... With ... additional matter. Illustrated with wood engravings,"Millett, George Bown",1880,Penzance,England,English,Beare,Non-fiction,4
14756365,The Social Emancipation of the Gipsies [Articles reprinted from the London 'Journal of Science.'],"Simson, James",1884,New York,United States of America,English,Knox,Non-fiction,3
14756401,"A Visit to Vaucluse, Nismes, Orange, Pont-du-Gard, Avignon, Marseilles, &c. &c. in May MDCCCXXI. By the Author of the Trimester in MDCCCXX [S. Weston.]",,1822,London,England,English,,Non-fiction,3
14767508,"The Best Cruise on the Broads. With useful hints on hiring, provisioning and manning the yacht; clothing; angling; photography, etc ... Illustrated by the author","Bickerdyke, John, pseudonym [i.e. Charles Henry Cook]",1895,London,England,English,"Bliss, Sands & Foster",Non-fiction,5
14767697,"How to Obtain Cheap Flour; or, a few remarks upon the objects ... to be gained from the establishment of co-operative flour-mills ... By An Unobserved Observer",,1856,Doncaster,,English,,Non-fiction,5
14767713,"The Old Churchyards of Sheffield, with a brief selection of quaint epitaphs therein","Glassby, William J. J.",1896,Sheffield,England,English,Pawson & Brailsford,Non-fiction,5
14767725,"Ye Auncient Citie of Durham in Ye Olden Tyme. Descriptive, historical, traditional","Gradon, H. T. (Henry Thomas)",1883,Durham,,English,Thomas Caldcleugh,Non-fiction,3
14767753,On the Ancient Name of Dublin,"Haliday, Charles",1855,Dublin,Ireland,English,M. H. Gill,Non-fiction,3
14767796,"Repton: Village, Abbey, Church, Priory, and School","Hipkins, Frederick Charles",1894,Derby,England,English,Bemrose,Non-fiction,3
14767799,"Broxbourne Past and Present, etc [With plates.]","Hoare, Margaret Caroline",1897,Hertford,,English,Stephen Austin,Non-fiction,3
14767837,"Eltham Palace, Kent. A paper, etc","Jackson, Richard John",1896,Woolwich,,English,,Non-fiction,3
14767855,"Harborne and Its Surroundings: a lecture, etc","Kenward, James, f.s.a",1872,Birmingham,,English,M. Billing,Non-fiction,5
14767858,"The Historie of Darby-shire. By P. K. With pedigree of the Kynder Family. From 'The Reliquary,' and Ashmole MS. 788. Edited by ... W.G. D. Fletcher","Kinder, Philip",1883,London,England,English,,Non-fiction,3
14767897,Wensleydale and Swaledale Guide ... Illustrated,"Leyland, John, of Forest Hill",1896,London  Newcastle upon Tyne,England,English,A. Reid,Non-fiction,5
14767905,"Gems of Home Scenery. Views of Wicklow and Killarney, from original drawings by T. L. Rowbotham. ... With descriptive notes. Compiled by ... W. J. Loftie ... Second edition","Loftie, William John",1875,London,England,English,,Non-fiction,4
14767984,The Rover. A poem,"Mawhood, John P.",1844,Hull,England,English,Kay & Wilson,Fiction,5
14768030,"Tamworth Castle. Its foundation, its history, and its lords [New and enlarged edition.]","Norris, Henry, Reverend, of Tamworth",1899,Tamworth,England,English,D. Smith,Non-fiction,4
14768086,"A Guide to ... Hadleigh ... Third edition, an abridgment","Pigot, Hugh, curate of Hadleigh",1890,Hadleigh,,English,G. A. Hardacre,Non-fiction,4
14768138,The History of the Royal Pavilion at Brighton,"Sawyer, Frederick Ernest",1886,Brighton,England,English,D. B. Friend,Non-fiction,5
14768142,"Guide to Wimborne Minster, its monuments and curiosities","Score, George Frederick",1893,London,England,English,,Non-fiction,4
14768144,"Lectures on Socialism, etc","Scoresby, William, the Younger",1840,London,England,English,J. Nisbet,Non-fiction,5
14768203,"The Early History of Spennymoor. A paper read ... at a meeting of members of the Spennymoor Church Institute, etc","Tate, John, of Spennymoor",1888,Bishop Auckland,England,English,M. Braithwaite,Non-fiction,4
14768206,"The Pictorial Guide to Castle Rising, Norfolk ... Illustrated with five engravings","Taylor, William, antiquary",1858,Lynn,,English,W. Taylor,Non-fiction,3
14768208,On a plastic operation for the restoration of the lower lip,"Teale, Thomas Pridgin, the Elder",1855,London,England,English,J. E. Adlard,Non-fiction,4
14768252,Memorials of Stamford: past and present,"Walcott, Mackenzie Edward Charles",1867,London  Stamford,England,English,,Non-fiction,4
14768271,"The Matlock, Buxton and Castleton Guide, containing concise accounts of these and other remarkable places ... in the ... County of Derby","Ward, R., Reverend, of Wirksworth?",1827,Birmingham,,English,,Non-fiction,5
14774002,"The Shepherdess of Aranville: or, Father and daughter. A pathetic tale. In three acts",,1826,Brentford,,English,Norbury,Fiction,5
14774009,The Legend of the Xmas Rose ... Illustrated by Delapoer Downing,"Bartholeyns, A. O'D",1899,London,England,English,Hurst & Blackett,Fiction,5
14774012,Handbook to Hitchin and the neighbourhood ... Second edition,"Bishop, Charles, of Hitchin",1875,Hitchin,England,English,Paternoster & Hales,Non-fiction,3
14774063,"Squibs and Crackers, in verse or worse. Partly in the Lancashire dialect","Fairclough, T. S.",1895,Patricroft,,English,,Fiction,4
14774072,"Where to buy at Frome. An illustrated local trades' review. By the Editor of the 'Agents' Guide,' ... with illustrations of the West of England",,1891,Brighton,England,English,"Robinson, Son & Pike",Non-fiction,4
14774122,"Lapsus Calami [Verses.] By J. K. S [tephen] . New [Third] edition, with considerable omissions and additions. L.P","Stephen, James Kenneth",1891,Cambridge,England,English,Macmillan,Fiction,5
14774123,Doon Lyrics,"Leck, Jane",1894,Glasgow,Scotland,English,,Fiction,5
14774194,"Letters from Sicily. Written in the year 1798, etc","Richards, Thomas Bingham",1800,London,England,English,,Non-fiction,3
14774207,Ballads and Poems,"Sigerson, afterwards Shorter, Dora Mary",1899,London,England,English,J. Bowden,Fiction,5
14796195,"Afhandling om krossverk för jernmalm, etc","Bagge, Jonas Samuel",1851,Stockholm,,Swedish,,Non-fiction,1
14796218,"Three Months in Cyprus during the winter of 1878-9. A paper, etc","Brown, Samuel",1879,London,England,English,Edward Stanford,Non-fiction,3
14796330,"The Geological Examinator, containing progressive series of questions adapted to the Introductory and Advanced Text-Books of Geology","Page, David, f.g.s",1877,Edinburgh  London,England  Scotland,English,,Non-fiction,3
14803668,"Researches in Assyria, Babylonia, and Chaldæa; forming part of the labours of the Euphrates Expedition [With plans.]","Ainsworth, William",1838,London,England,English,J. W. Parker,Non-fiction,3
14803800,"Travels to the Seat of War in the East, through Russia and the Crimea, in 1829, etc [With plates and a map.]","Alexander, James Edward, Sir",1830,London,England,English,Henry Colburn & Richard Bentley,Non-fiction,3
14803831,All Wrong. A leaf from a drama [A tale. By Annie M. Griffen.],,1877,Philadelphia,United States of America,English,J. B. Lippincott,Fiction,5
14803938,"A Journal of a Tour in Italy, in the year 1821. With a description of Gibraltar. Accompanied with several engravings. By an American [i.e. Theodore Dwight]",,1824,New York,United States of America,English,,Non-fiction,3
14803956,A Short History of Clent,"Amphlett, John, barrister-at-law",1890,London,England,English,Parker,Non-fiction,3
14804023,Bygone Lincolnshire. Edited by W. Andrews,"Andrews, William",1891,Hull,England,English,A. Brown,Non-fiction,3
14804131,Nora Creina. A novel,"Argles, afterwards Hungerford, Margaret Wolfe",1896,London,England,English,Chatto & Windus,Fiction,3
14804169,The Sport of Circumstances,"Armstrong, Louis E.",1887,London,England,English,"Swan Sonnenschein, Lowrey",Fiction,3
14804173,"A Visit to Egypt in 1872. Described in four lectures, etc","Armstrong, W. G. (William George), Baron",1874,Newcastle upon Tyne,,English,J. M. Carr,Non-fiction,3
14804194,European Mosaic,"Arnold, Howard Payson",1864,Boston,United States of America,English,"Little, Brown",Non-fiction,5
14804287,They have their Reward: a novel,"Atkinson, Blanche",1890,London,England,English,George Allen,Fiction,5
14804296,"Oriental and Western Siberia; a narrative of seven years' explorations and adventures in Siberia, Mongolia, the Kirghis Steppes, Chinese Tartary, and part of Central Asia ... With a map and numerous illustrations","Atkinson, Thomas Witlam",1857,London,England,English,Hurst & Blackett,Non-fiction,3
14804323,Mansfield Park : a novel,"Austen, Jane",1870,London,England,English,Richard Bentley,Fiction,3
14804324,Mansfield Park : a novel,"Austen, Jane",1875,London,England,English,Groombridge,Fiction,3
14804343,Rome or Death! [A poem.],"Austin, Alfred",1873,Edinburgh  London,England  Scotland,English,W. Blackwood,Fiction,5
14804360,Austria and the Austrians [by Wenzel Blumenbach.],Austria,1837,London,England,English,Henry Colburn,Non-fiction,5
14804363,Poems and Paragraphs,"Aveling, Henry",1899,London,England,English,"Digby, Long",Fiction,5
14804455,England from a Back-Window; with views of Scotland and Ireland,"Bailey, James Montgomery",1879,Boston,,English,Lee & Shepard,Non-fiction,5
14804478,"Explorations in South-West Africa. Being an account of a journey in ... 1861 and 1862 from Walvisch Bay, on the western coast, to Lake Ngami and the Victoria Falls [With a preface by M. A. Baines, and maps and plates.]","Baines, Thomas",1864,London,England,English,Longman,Non-fiction,4
14804483,Betram de Drumont [A tale. Edited by Thomas Baker.],"Baker, Ella",1888,London,England,English,Kegan Paul,Fiction,5
14804490,The Gleaming Dawn. A romance of the Middle Ages,"Baker, James, of Clifton, Bristol",1896,London,England,English,Chapman & Hall,Fiction,3
14804550,"On India's Frontier; or Nepal, the Gurkhas' mysterious land","Ballantine, Henry",1895,New York,United States of America,English,J. S. Tait,Non-fiction,4
14804592,The Baptistery ... By the author of 'The Cathedral' [i.e. Isaac Williams] . Third edition,,1846,Oxford,,English,John Henry Parker,Fiction,4
14804603,"Mountain Life in Algeria ... With illustrations, etc","Barclay, Edgar",1881,London,England,English,Kegan Paul,Non-fiction,5
14804615,Wanderings by Southern Waters. Eastern Aquitaine ... With illustrations,"Barker, Edward Harrison",1893,London,England,English,R. Bentley,Non-fiction,4
14804673,"From Whose Bourne, etc [Three tales.]","Barr, Robert",1893,London,England,English,Chatto & Windus,Fiction,3
14804679,A Woman Intervenes ... Illustrations by H. Hurst,"Barr, Robert",1896,London,England,English,Chatto & Windus,Fiction,5
14804711,"Out of the jaws of death ... Copyright edition, etc","Barrett, Frank",1893,London,England,English,Cassell,Fiction,3
14804781,"The Life of E. M. Barttelot ... An account of his services for the relief of Kandahar, of Gordon, and of Emin, from his letters and diary, by W. L. Barttelot [With plates, including a portrait, and maps.]","Barttelot, Edmund Musgrave",1890,London,England,English,R. Bentley,Non-fiction,3
14804816,Verses,"Baughan, Blanche Edith",1898,London,England,English,A Constable,Fiction,5
14804818,"Winter Havens in the Sunny South. A complete handbook to the Riviera, with a notice of the new station, Alassio","Baughan, Rosa",1880,London,England,English,Bazaar,Non-fiction,4
14804835,"The Illustrated Book of Sacred Poems. Edited by ... R. H. Baynes ... Illustrated, etc","Baynes, Robert Hall",1867,London  New York,England  United States of America,English,Cassell,Fiction,4
14804922,The Dawn of Modern Geography. A history of exploration and geographical science from the Conversion of the Roman Empire to A.D. 900 (c. A.D. 900-1260-c. A.D. 1260-1420) ... With reproductions of the principal maps of the time,"Beazley, Charles Raymond, Sir",1906,London,England,English,John Murray,Non-fiction,4
14804961,Sidartha. A story of mystery,"Behenna, Kathleen",1896,London,England,English,"Digby, Long",Fiction,3
14805017,The Love Affairs of an Old Maid,"Bell, Lilian",1895,London,England,English,Sampson Low,Fiction,4
14805018,The Under Side of Things. A novel,"Bell, Lilian",1896,London,England,English,Sampson Low,Fiction,3
14805041,"Looking backward, 2000-1887 ... Third edition","Bellamy, Edward",1891,London,England,English,F. Warne,Fiction,3
14805113,Belhaven [A novel.],"Beresford, Max, pseudonym [i.e. A. S. Holdsworth]",1892,London,England,English,Hurst & Blackett,Fiction,5
14805160,London ... With ... illustrations,"Besant, Walter",1894,London,England,English,Chatto & Windus,Non-fiction,4
14805204,"The Student's Manual of Modern Geography. Mathematical, physical, and descriptive","Bevan, William Latham",1879,London,England,English,John Murray,Non-fiction,5
14805221,The Travels of a Hindoo to various parts of Bengal and Upper India. With an introduction by J. Talboys Wheeler [With a map.],,1869,London,England,English,Trübner,Non-fiction,3
14805267,"A Winter in Florida; or, Observations on the soil, climate, and products or our semi-tropical State ... To which is added a brief historical summary ... Illustrated. Third edition","Bill, Ledyard",1870,New York,United States of America,English,Wood & Holbrook,Non-fiction,5
14805324,"'A Peep into the Past': Brighton in the Olden Time, with glances at the present, etc [With plates, including portraits.]","Bishop, John George",1880,Brighton,England,English,J. G. Bishop,Non-fiction,5
14805399,The History of Black Hawk County ... Illustrated,,1878,Chicago,United States of America,English,Western Historical,Non-fiction,3
14805421,"The Remarkable History of Sir Thomas Upmore, Bart, M.P, formerly known as 'Tommy Upmore' ... Second edition","Blackmore, R. D. (Richard Doddridge)",1885,London,England,English,Sampson Low,Fiction,3
14805423,Springhaven. A tale of the Great War ... Third edition,"Blackmore, R. D. (Richard Doddridge)",1888,London,England,English,Sampson Low,Fiction,4
14805424,Tales from the Telling-House,"Blackmore, R. D. (Richard Doddridge)",1896,London,England,English,Sampson Low,Fiction,4
14805433,"The Chemical Analysis of Iron. A complete account of all the best known methods for the analysis of iron, steel, etc","Blair, Andrew Alexander",1888,Philadelphia,United States of America,English,J. B. Lippincott,Non-fiction,3
14805503,Birds of Passage. Songs of the Orient and Occident,"Blind, Mathilde",1895,London,England,English,Chatto & Windus,Fiction,5
14805618,"The Alpine Regions of Switzerland and the neighbouring countries. A pedestrian's notes on their physical features, scenery, and natural history ... With illustrations by E. Whymper","Bonney, Thomas George",1868,Cambridge,,English,"Deighton, Bell",Non-fiction,3
14805821,"New Pictures in Old Frames: being a book of verse for girls and boys, written in old French forms, etc","Bradley, Gertrude M.",1894,London,England,English,"Simpkin, Marshall",Fiction,5
14805823,The Flute of Athena: and other poems,"Bradley, Reuben",1894,London  Shrewsbury,England,English,Adnitt & Naunton ; Elliot Stock,Fiction,5
14805845,Historic Winchester. England's first capital,"Bramston, A. R.",1882,London,England,English,Longmans,Non-fiction,5
14805886,"The British Empire: a sketch of the geography, growth, natural and political features of the United Kingdom, its colonies and dependencies [With maps.]","Bray, Caroline",1863,London,England,English,Longman,Non-fiction,3
14805959,"A History of Dorking and the neighbouring parishes, with chapters on the literary associations, flora, fauna, geology, etc, of the district","Bright, John Shenton",1884,Dorking  London,England,English,"R. J. Clark ; Simpkin, Marshall",Non-fiction,3
14805969,Tour in Palestine and Syria ... With illustrations and map,"Brinton, John",1893,London,England,English,Chapman & Hall,Non-fiction,3
14806033,"A General Gazetteer, in miniature ... The whole revised ... by A. G. Findlay. Second edition","Brookes, Richard, m.d",1851,London,England,English,W. Tegg,Non-fiction,5
14806042,The Silver Cord: a story,"Brooks, Shirley",1865,London,England,English,Bradbury & Evans,Fiction,3
14806071,Dear Faustina,"Broughton, Rhoda",1897,London,England,English,R. Bentley,Fiction,3
14806080,Second Thoughts,"Broughton, Rhoda",1880,London,England,English,R. Bentley,Fiction,3
14806142,On the South African Frontier. The adventures and observations of an American in Mashonaland and Matabeleland ... With illustrations and maps,"Brown, William Harvey",1899,New York,United States of America,English,C. Scribner's,Non-fiction,3
14806155,Ice-Caves of France and Switzerland. A narrative of subterranean exploration,"Browne, George Forrest, successively Bishop of Stepney, of Bristol",1865,London,England,English,Longmans,Non-fiction,5
14806174,Dorothy. A tale ... With illustrations,"Browne, Tryphena Margaret",1885,London,England,English,Suttaby,Fiction,4
14806215,"A Cyclopædia of Geography, descriptive and physical, forming a new general gazetteer of the world and dictionary of pronunciation, etc","Bryce, James, f.g.s",1880,Glasgow  London,England  Scotland,English,W. Collins,Non-fiction,5
14806256,"The Great Plantagenet. Or, a Continued succession of that royall name, from Henry the Second, to our Sacred Soveraigne King Charles. By Geo. Buck Gent [or rather, written by Sir George Buck, and edited with additions and alterations by George Buck]","Buck, Geo (George), esquire",1635,London,England,English,Nicholas & Iohn Okes,Non-fiction,3
14806276,"Neerlands-Oost-Indië. Reizen over Java, Madura, Makasser ... gedaan gedurende het tijdvak van 1852-1857 ... Met platen","Buddingh, Steven Adriaan",1859,Rotterdam,,Dutch,,Non-fiction,1
14806287,John Bull's Neighbour in her True Light. Being an answer to some recent French criticisms. By a 'Brutal Saxon.',"Bull, John",1884,London,England,English,Wyman,Non-fiction,3
14806361,"The Dragon Knight. A poem, in twelve cantos","Burges, afterwards Lamb, James Bland, Sir, Baronet",1818,London,England,English,Longman,Fiction,5
14806408,Dolly. A love story,"Burnett, Frances Hodgson",1893,London,England,English,F. Warne,Fiction,3
14806414,Kate's Wise Woman. A novel,"Burnham, Clara Louise",1896,"Cambridge, Massachusetts  London",England,English,Gay & Bird,Fiction,3
14806477,"The Jew, the Gypsy, and El Islam ... Edited with a preface and brief notes by W. H. Wilkins","Burton, Richard Francis, Sir",1898,London,England,English,Hutchinson,Non-fiction,3
14806527,Deerhurst. A parish of the Vale of Gloucester [With plates.],"Butterworth, George",1888,London  Tewkesbury,England,English,"Simpkin, Marshall ; William North",Non-fiction,5
14806578,A Sequel to Don Juan [By G. W. M. Reynolds.],"Byron, George Gordon Byron, Baron",1845,London,England,English,Paget,Fiction,5
14806660,"The Tourists' Guide to the Principal Stations between Calcutta and Mooltan and Allahabad and Bombay. On the East Indian Railway, etc. (Fourth edition.)",,1875,Calcutta,,English,W. Newman,Non-fiction,3
14806729,The Camp of Refuge [By Charles MacFarlane.],,1887,London  Wisbech,England,English,"Leach ; Simpkin, Marshall",Fiction,3
14806916,"Journal of a Voyage from Boston to the West Coast of Africa, with a full description of the manner of trading with the natives on the coast","Carnes, J. A.",1852,Boston,,English,J. P. Jewett,Non-fiction,4
14806995,Old Rome and New Italy. Recuerdos de Italia ... Translated by Mrs. Arthur Arnold [With a portrait.],"Castelar Y. Ripoll, Emilio, President of the Spanish Republic",1873,London,England,English,Tinsley,Non-fiction,3
14807000,'La Bella' and others. Being certain stories recollected by E. Castle [and one by Agnes Castle],"Castle, Egerton",1892,London,England,English,Cassell,Fiction,5
14807013,"Letters and Notes on the Manners, Customs, and Condition of the North American Indians [With plates.]","Catlin, George",1841,London,England,English,,Non-fiction,3
14807035,Korea and the Sacred White Mountain ... with an account of an ascent of the White Mountain by Captain H. E. Goold-Adams. With ... illustrations and ... maps,"Cavendish, Alfred Edward John",1894,London,England,English,G. Philip,Non-fiction,3
14807056,Memories of French Palaces. With illustrations,"Challice, Annie Emma",1871,London,England,English,Bradbury & Evans,Non-fiction,3
14807086,"Chambers's Concise Gazetteer of the World. Topographical, statistical, historical",William and Robert Chambers,1894,Edinburgh  London,England  Scotland,English,W. & R. Chambers,Non-fiction,5
14807100,Chances and Changes; a story of love and friendship. By the author of 'My First Grief' [i.e. Charles Beckett],,1859,London,England,English,"Saunders, Otley",Fiction,3
14807212,"Transatlantic Sketches in the West Indies, South America, Canada, and the United States","Chester, Greville John",1869,London,England,English,"Smith, Elder",Non-fiction,4
14807259,"Longmans' Junior School Geography, etc","Chisholm, George Goudie",1891,London,England,English,Longmans,Non-fiction,5
14807261,Longman's School Geography for India and Ceylon,"Chisholm, George Goudie",1891,London,England,English,Longmans,Non-fiction,5
14807273,Orientalische Tageblätter. Nach der Natur und Wirklichkeit skizzirt,"Christ, Sophie",1888,Mainz,,Dutch  German,,Non-fiction,1
14807399,"The New Lancashire Gazetteer, or Topographical Dictionary, etc","Clarke, Stephen Reynolds",1830,London,England,English,H. Teesdale,Non-fiction,3
14807429,Too Apt a Pupil,"Cleland, Robert",1891,Edinburgh  London,England  Scotland,English,W. Blackwood,Fiction,5
14807435,A Tramp Abroad. By Mark Twain,"Clemens, Samuel Langhorne",1880,London,England,English,Chatto & Windus,Fiction,3
14807439,"Naples, the City of Parthenope, and its Environs ... Illustrated","Clement, Clara Erskine",1894,London,England,English,Gay & Bird,Non-fiction,3
14807450,A Narrative of Voyages and Commercial Enterprises,"Cleveland, Richard J. (Richard Jeffry)",1842,Cambridge  Massachusetts,,English,John Owen,Non-fiction,5
14807487,"The Captain of the 'Mary Rose.' A tale of to-morrow ... Illustrated, etc","Clowes, W. Laird (William Laird), Sir",1892,London,England,English,Tower Publishing,Fiction,3
14807548,John Chinaman: his ways and notions,"Cockburn, George, Reverend, formerly of Ichang",1896,Edinburgh,Scotland,English,J. G. Hitt,Non-fiction,3
14807592,"Open-Air Studies. An introduction to geology out-of-doors ... With ... illustrations, etc","Cole, Grenville A. J. (Grenville Arthur James)",1895,London,England,English,C. Griffin,Non-fiction,5
14807618,Minstrel Dick. A tale of the XIVth cent,"Coleridge, Christabel R. (Christabel Rose)",1896,London,England,English,"Gardner, Darton",Fiction,5
14807652,Marjorie Dudingstoune: a tale of old St. Andrews,"Collier, William Francis",1867,Edinburgh,Scotland,English,W. P. Nimmo,Fiction,3
14807691,The Woodleighs of Amscote ... Illustrated,"Collins, Frances",1881,London,England,English,W. Swan Sonnenschein & Allen,Fiction,5
14807755,"Letters written from Colombia, during a journey from Caracas to Bogotá, and thence to Santa Martha, in 1823 [By John Hankshaw. With a map.]",,1824,London,England,English,G. Cowie,Non-fiction,3
14807778,Gentle & Simple [A novel.],"Colvile, afterwards Paul, Margaret Agnes",1878,London,England,English,C. Kegan Paul,Fiction,5
14807779,"Round the Black Man's Garden ... With illustrations, etc [An account of travels in Africa.]","Colvile, Zélie Isabelle, Lady",1893,Edinburgh  London,England  Scotland,English,William Blackwood,Non-fiction,5
14807923,England. With sketches of society in the metropolis [Including Fenimore Cooper's 'Letter to his Countrymen.'],"Cooper, James Fenimore",1837,Paris,France,English,A. & W. Galignani,Non-fiction,3
14807929,Excursions in Switzerland,"Cooper, James Fenimore",1836,Paris,France,English,Baudry's European Library,Non-fiction,3
14807935,The Pursuit of a Chimera. Being a mid-winter's day dream,"Cope, C. Elvey",1893,London,England,English,"Digby, Long",Fiction,5
14808008,"Loiterings in Europe; or, Sketches of travel in France, Belgium, Switzerland, Italy, Austria, Prussia, Great Britain, and Ireland. With an appendix, containing observations on European charities and medical institutions ... Second edition","Corson, John W.",1848,New York,United States of America,English,Harper,Non-fiction,4
14808106,"Search for Winter Sunbeams in the Riviera, Corsica, Algiers, and Spain ... With numerous illustrations","Cox, Samuel Sullivan",1870,New York,United States of America,English,D. Appleton,Non-fiction,4
14808123,"Atlas, etc","Craandijk, Jacobus",1884,Haarlem,,Dutch,,Non-fiction,1
14808153,Only a Butterfly,"Craik, afterwards May, Georgiana Marion",1873,London,England,English,Sampson Low,Fiction,3
14808163,"The Doomed City; or, the Last days of Durocina. A tale of the Anglo-Saxon conquest of Britain, and the mission of Augustine","Crake, A. D. (Augustine David)",1885,London  Oxford,England,English,A. R. Mowbray,Fiction,4
14808323,For the Sake of the Family,"Crommelin, Maria Henrietta de la Cherois",1892,London  Sydney,England,English,"Eden, Remington",Fiction,3
14808339,Midge. (Third thousand.),"Crommelin, Maria Henrietta de la Cherois",1890,London,England,English,Trischler,Fiction,4
14808365,Highways and Byeways in Japan. The experiences of two pedestrian tourists [With a map.],"Crow, Arthur H.",1883,London,England,English,Sampson Low,Non-fiction,3
14808706,"Fællesrejsen til England og Skotland 1887, foranstaltet af Rejsestipendieforeningen. Rejseberetning ... Med Illustrationer, tegnede af Knud Larsen","Davidsen, N.",1887,Kolding,,Danish,,Non-fiction,1
14808723,"Miss Armstrong's, and other circumstances [Tales.]","Davidson, John",1896,London,England,English,Methuen,Fiction,4
14808766,Over the Waters [A novel.],"Davis, Frederick J.",1893,London,England,English,Digby & Long,Fiction,5
14808772,The Chinese: a general description of the Empire of China and its inhabitants ... Illustrated with woodcuts,"Davis, John Francis, Sir",1836,London,England,English,Charles Knight,Non-fiction,5
14808773,"Sketches of China; partly during an inland journey of four months, between Peking, Nanking, and Canton; with notices and observations relative to the present war","Davis, John Francis, Sir",1841,London,England,English,Charles Knight,Non-fiction,5
