TextSnippet	MachineType	Date	Category	Humanness	Animacy	split
To those persons who took an interest in the science of aeron autics, Lapwing's conversation never failed to be highly instructive and entertaining.  Were they already learned about the matter, he would discourse to them on the specific gravi ties of atmospheric gases ; explain, by the theory of dynamics, what velocity a balloon would gain from unobstructed acceleration, how their buoyancy was affected by the weight of apparatus, and how the fluid she contained was affected by oscUlating motions, and the like.  He would show how resistance was in creased by the diameter of the air-vessel, and could prove by algebra that in the descent of parachutes, if A denoted the circumference of the parachute and of the total weight of the machine, the velocity of descent might be expressed in round numbers by 3f y /.	apparatus	1858	machine is inanimate object without agency	0	0	train
THE DIVIDING LINE 39 Roanoke.  This wretched machine, at first setting out, met with a very rude choque, that broke a case-bottle of cherry brandy in so unlucky a manner that not one precious drop was saved.  This melancholy beginning foreboded an unprosperous journey, and too quick a return, to the persons most imme diately concerned.	machine	1841	machine is agent (movement)	1	1	train
The furnace door made the steam ruddy for a space, as it drifted over the foot-plate.  A glow rested on two brave faces, on two hardy men, and flashed upon the hedges and on the bricks of bridges by and under which the engine passed.  Ames wore a somewhat anxious look, and the driver noticed it.	engine	1891	machine is agent (movement)	0	0	train
403 condense in order, the heaviest in s, the lighter in tl and *„.  It is only by using an apparatus of this kind that effectual separation is obtained, and the process also has the advantage of producing an almost odourless distillate, all the strong-smelling compounds passing uncondensed into K. The amount of steam used, as measured by the water condensed in K, is usually from 50 to 100 per cent, of the weight of oil.  Oelheim residuum yields 78 per cent, of thick oils in three fractions in this apparatus.	apparatus	1896	machine is instrument	0	0	train
282 The power was to be found in that clause of the constitution which allows us to regulate commerce with foreign nations and amono- the several States.  It was under that clause of the consti tution, he said, that we now had Mr. Hassler, with his splendid apparatus and scientific corps, engaged in surveying the whole maritime coast of the nation.  No one doubted our authority to do this ; and the most important and useful results were likely to follow the surveys.	apparatus	1836	machine is instrument	0	0	train
The anxious passengers were hurrying to and fro asking questions and scarce pausing for replies.  On the engine was a young man, his face and hands as black as coal and dust could make them.  His hair clung to his forehead, and was matted with blood.	engine	1885	machine is inanimate object without agency	0	0	train
Old Gordon himself, of Gordon's Mill, was just musician enough to distinguish the first bar O O of God save the King from that of Rule Britannia.  His wife, till she was past learn ing, had heard no music but that of machinery in full play.  She had been a factory hand when old Gordon, then young Gordon, married her, neither for a pretty face nor for accomplishments, but for the more excellent qualities that eminently fitted her for the wife of a man who had risen in life, to fifteen shillings a week, from nothing a day.	machinery	1878	machine is inanimate object without agency	0	0	train
At Shashi River, 5 P.M., the three special trains lay close together, because of the difficult gradient leading out of the bed of the river.  While the engines assisted the trains up the steep, I came across an impromptu presentation of an address by the Mayor of Cape Town to Mr. Logan, the caterer of the excursion parties.  According to what was said, we were all made to believe that we could not have been better served had the first European caterer undertaken the provisioning, to which no one could make objection, and a duly signed testimonial to that effect was presented to that gentleman.	engines	1898	machine is agent (purpose/work)	1	1	train
A trifling incident thus served to settle a victory.  Now-a days, a soldier is so much of a machine that he seems simply to go through certain evolutions, in which there is no opportunity for the display of personal bravery or cowardice.  He does not know what is going on in other parts of the field, and has no real knowledge, till all be over, whether the day has been lost or won.	machine	1887	human as a machine	1	1	train
This was the first locomotive for railroad purposes ever built in America, and drew the first passenger car ever propelled by steam upon any railroad in the world.  Again the thought comes over one that this is a romance, ‚Äî a sort of James' intro duction, with a solitary locomotive instead of the solitary horseman, that might have been seen coming over a hill.  The car to which this nondescript steam-locomotive was attached re sembled an ordinary row-boat, the four wheels so placed under the center that a little too much weight at either end would transform it into a teeter.	locomotive	1883	machine as a human	0	0	train
In place of horses two locomotives were em ployed to draw the marl and rock from the excavations, at a saving of nearly fifty pounds a month in one case, and of still more in the other.  But the highest aston ishment of all was created on the occasion of a race of locomotives on the line, for a prize of five hundred pounds, when the Rocket* travelled over a mile in one minute and twenty seconds; being at the rate of forty-five miles an hour.  At length, on the 15th of September, 1830, the railway was opened for traffic.	locomotives	1870	machine is agent (movement)	0	0	train
Each trachea gives out a current of gas, which is purer by 0'08 than atmospheric air.  The phenome non ceases, the moment the apparatus is placed in the shade.  There is also but a very slight disengagement of air at the two surfaces of the leaves of the clusia exposed to the Sun without being slit open.	apparatus	1814	machine is inanimate object without agency	0	0	train
They stayed to see Ok Hut brought out insensible and bleeding from many wounds, and all the other inmates brought out safely.  When Chow and the doctor knew that the building was doomed, they issued unmolested from the back of the store to another street, and made their way in the early light toward where little Fay lay awake, with her heart beating fast at the shouts and the clang of the fire-engines, with littlest slumbering Oo clasped tight to her bosom.  That evening they sat about the dinner-table, with Sum Ah and the helper Yang, who listened in admi-	engines	1896	machine as a human	0	0	train
"He looked around a second time, to be sure, I suppose, and added positively : "" It'll rain afore sundown.""  About ten feet from him was another old railor engaged in coiling a rope ; the machinery made so much noise they could not hear my questions nor each other's opinions.  ""Likely morning; won't rain much to-day, will it?"""	machinery	1879	machine is agent (purpose/work)	0	0	train
25 The second and third ships were the paddle-steamers Inca and Val paraiso, for the Pacific Steam Navigation Company.  The engines of the Inca were started in May 1856, those of the Valparaiso in July 1856.  Each of these ships had a pair of engines of that compound class described in patent C; the cylinders were jacketed at top and bottom only, and not round the sides.	engines	1891	machine is agent (purpose/work)	0	0	train
"was their only an- swer, mingled with cries of "" Vive la"" Nation ! ""  The soldiers, by During this scene, I was on duty at the gate of the court, fac ing a Swiss, an absolute machine, with whom it was impossible to exchange a word.  But an aide-de camp of General Whittinghoff pass ing near me, I asked him what his general intended doing."	machine	1875	human as a machine	1	1	train
In engaging servants in other countries as well as in Eussia, it is necessary to make a careful selection, and to put them in such a position that they should value their place and fear to lose it ; and when all this has been done, the watchful eye and directing hand of the master should be always present.  In a word, servants must be treated, not as machines, but as human beings who are always more in clined to act according to their immediate personal interest than according to the dictates of high morality.  This simple truth appears to be very imperfectly understood by the majority of Russian proprietors.	machines	1877	human as a machine	0	1	train
"265 THE WORM TURNS. ""  You ‚Äî you talk as though I were a runaway engine,"" she faltered, from the refuge of her hand kerchief. ""  Oh !"	engine	1896	human as a machine	0	1	train
Can any living man, or any living woman, wonder that daughter Deborah sometimes got tired of articulating sounds that pre sented no corresponding sense to her own mind ?  Could any human being, endoAved with a soul, bear to lay aside that soul for so many hours in the blessed four-and-twenty, and to babble, like a machine, sounds that conveyed to another mind the thoughts that ages before had passed through the brains of old Greeks and Hebrews, and old Romans, yet brought no corresponding imagery to her own ?  Yet Deborah Milton did this for a blind father, and if poor human nature sometimes flagged and failed in a cheerful performance g 2	machine	1851	human as a machine	1	1	train
Connected with these several manufactories are sixty puddling and twenty heating furnaces, fourteen trains of rolls, three rotary squeezers, nine horse shoe machines, each of which can make sixty horse shoes per minute, twelve rivet machines, ten large and fifteen small steam engines, seventy boilers and the great water wheel previously described.  These works manufacture pig and merchant iron, horse and mule shoes, boiler rivets and railroad spikes.  This great business gives employment to fourteen hundred persons.	boiler	1876	machine is inanimate object without agency	0	0	train
For instance, throughout New England, generally, where various kinds of grain are raised in close proximity, oats, peas, barley, wheat, etc., frequently become mixed, and a machine called a separator is used, by means of which the several grains may be rapidly obtained free from others.  In the Western States such a machine is rarely needed, for wheat is there generally free from other grains.  In such case the ordinary cleaning apparatus is commonly used ; it consists of a cylindrical sieve of wire cloth fixed in a sloping position, and having internal partitions causing it to resemble an Archimedean screw.	machine	1886	machine is instrument	0	0	train
4, although working for nearly three years, is not yet bottomed.  This, I attribute principally to the immense volume ot water to be raised, and the want of efficient machinery.  The company have now obtained a powerful engine, and anticipate shortly to get into the gutter; great inducements are held out to them to proceed with energy, as they will, in all probability, have a junction with Scotchman's Lead.	machinery	1859	machine is instrument	0	0	train
It has cost me near two thousand pounds.  By-the-bye, Jack, you have drawn very liberally lately, and I had some trouble, with my own expenses, to meet your bills ; not that I com plain ‚Äî but what with societies, and my machine, and tenants refusing to pay their rents, on the principle that the farms are no more mine than theirs, which I admit to be true, I have had some difficulty in meeting all demands.'  ' The governor was right,' thought Jack, who now inquired after Dr. Middleton. '	machine	1893	machine is inanimate object without agency	0	0	train
""" ' Then why didn't he bring hands with him ?'  said the King, testily, ' I suppose the machine is not self-acting, and that he knew that before he came here.'  "" I thought I'd have fainted at this rebuke from the lips of Royalty itself, and so I stammered out some miserable excuse about not knowing if I were empowered to have brought aid — my ignorance of Court eti quette — in fact, I blundered — and so far, that the King cut me short, by saying, ' Take those people there, Sir, and don't delay us ;' pointing to the two gentlemen in cocked hats, bags, and swords, that looked as if they could have danced on my grave with delight. """	machine	1850	machine is inanimate object without agency	0	0	train
City lay as quiet and deserted as a city of the dead.  Now there came the distant pealing of a bell, and a train from the east bustled into the depot, and paused there a few minutes for the engine to draw a fresh supply of water.  It was an emigrant train, with a rough crowd on board bound for the mines.	engine	1892	machine is agent (purpose/work)	0	0	train
Let them call my carriage.'  And then came a confused sound of wheels outside in the street and shouts echoing through the night, whUe from above came the sound of the dancers, and that resolute, indefatigable violin still going on with the monotonous air of ' Sir Roger de Coverley,' as though it were played by a machine rather than by a man with a weary head and a heavy heart.  Blanche wandered back to recollections of Balholm ; she saw that merry throng in the inn parlour, she saw Ole Kvikne with his kindly smUe, and Herr Falck with his look of content, and she flew down the long lines of merry dancers once more to meet Frithiof — the boyish, happy- looking Frithiof, with whom she had danced ' Sir Roger ' two years ago. '	machine	1890	human as a machine	1	1	train
Another attempt to proclaim the bull by Adam Newton, guardian of the Friars Minor in Berwick, had no better result.  Newton saw Bruce at Aid-Camus (Old Cam bus), where he was at work day and night in the construction of siege engines, and, having got a safe-conduct for himself and his papers, returned, in hopes of being al lowed to deliver them.  But Bruce was firm, and would not receive the bulls unless addressed to him as king, and, as he now added, until he had possession of Berwick.	engines	1885	machine is inanimate object without agency	1	1	train
"Safer to denounce him lest I be mixed up"" in this.""  Do as you like, returned Caddick, speaking with the indifference of a machine. ""  I've set poor Birdie free, and you made me do it."""	machine	1876	human as a machine	1	1	train
"I know a poet who wUl not make merchan dise of his poetry, because forsooth he wUl not seU God-given thoughts for mere money, and I knew a singer once, who would not traffic with his voice.  But now he is wiser,"" he added with a smUe, ""and wiU engage himself to sing anything for any man over and over again, tiU he is as much of a machine as any enlightened public can desire, so long at least as that public wUl pay him a fair price.  Yes, I am come to that now, I can talk about the price of my singing just as if it was so much cahco I disposed of by the yard, or in the piece all at the buyer's pleasure."""	machine	1869	human as a machine	1	1	train
"The English houses, to be sure, have recently gotten out from home one of their small steam "" gar den-pumps,"" and many of the young Britons have had weekly practice in manipulating its various parts.  When the alarm for the present fire rang you might have seen several servants, employed in their re spective homes by the members of the new Volunteer Fire Department, slowly wandering toward the shed where the engine was kept, with some nicely folded red shirts, coats with brass buttons, helmets with Matterhorn-like summits, and axes that shone from lack of work.  These youths did not seem to be in any hurry, and it turned out that when they reached the engine-house, when their masters had togged"	engine	1898	machine is inanimate object without agency	0	0	train
"109 curiosity.  He was no mere machine, nor auto maton, any more than his felloAvs; who all pre sume to use the right of "" private judgment"" re garding their employers.  ""Why was the lady not admitted?"""	machine	1858	human as a machine	0	1	train
69 there had been nothing to draw her back, in the four quiet prosaic years she had passed beneath his roof.  The misfortune was that she had been too much reduced to the state of a machine ; that no one had cared about her (except the children) or taken any individual interest in her, and that thus her mind had been tempted to turn with morbid regret towards the past, in which there had been at least some one to love her, some one to show her some sort of sympathy.  Her father and Fabian — she had found nothing to replace them, capricious and selfish though their affection had been ; and till Mr. Bartram came she had not even supposed it possible that she could ever have a real friend — a friend of her own — again.	machine	1870	human as a machine	1	1	train
"ONE IN TEN THOUSAND.  311 ground, there would be employment for men and machinery for some time to come.  So the three or four wealthiest storekeepers of the place put up better than the customary ""ramshackle"" buildings, and brought their families to reside with them."	machinery	1871	machine is agent (purpose/work)	0	0	train
HISTORY OF KNOX COUNTY.  754 was as cold and precise as a machine, and the soldiers detested him.  He received an anonymous warning not to sleep in his quarters; and that very, night a shell exploded under his bec^ and blew it to pieces, while Berth lay concealed in the grass near by.	machine	1881	human as a machine	0	1	train
The principal, and indeed the only one largely worked, is that known as old Delabole quarry, which has supplied roofing and flooring slates for the past 300 years.  Steam power was introduced in 1837, and the output increased to such an extent, that in 1847 sive steam engines and 1000 persons were employed.  In 1882 the workmen numbered 350, and the quantity of manufactured slates, slabs, <fec.	engines	1888	machine is instrument	0	0	train
82 JOHN MILTON.  And when they list their lean and flashy songs Grate on their scrannel pipes of wretched straw, The hungry sheep look up, and are not fed, But swoln with wind, and the rank mist they draw, Rot inwardly, and foul contagion spread ; Besides what the grim wolf with privy paw 125 Daily devours apace, and nothing said ; But that two-handed engine at the door Stands ready to smite once, and smite no more.  Return, Alpheus, the dread voice is past, That shrunk thy streams ; return, Sicilian Muse, And call the vales, and bid them hither cast Their bells, and flow'rets of a thousand hues.	engine	1880	human as a machine	1	1	train
Being ; only declarations of other fallible men's ; opinions, they must ever give way to princi- 1 pies ; and were the commons governed more ; by principle, and less by party rage, personal !  animosity, and interested views, they would ; not be so ready to have recourse to engines, ; which may be applied to any purpose, to the !  destruction as well as to the improvement of; the constitution ; engines, which, like a two- !	engines	1832	machine is instrument	0	0	train
149 bit plumped into a cavity that at once yielded fifteen hundred barrels per day.  The partners in faith and sorrow, now had no longer need for either the dilapi dated horse nor the little engine that had done them such good service ; nature worked the pump on her own account, and all the owners had to do was to barrel the oil, and receive the proceeds.  This well decreased to seven hundred barrels, and at the end of about two years became a pumping well.	engine	1866	machine is agent (purpose/work)	1	1	train
The elevator now7 extends east and west 20x100 feet, and north and south 20x24.  The latter portion is raised two stories in order that the machinery may distribute the wheat to dif ferent parts of the building.  On the first floor are two Fairbank scales, and a storage capacity	machinery	1881	machine is agent (purpose/work)	0	0	train
In the number of those that came were the lord de Heilly, Enguerrand de Bournouville, the lord de Vitry and others.  The king marched from Fontenay to the town of Dun-le-Roi in Berry, where he encamped, and had it besieged by his army on all sides, and well battered by his engines.  During this siege, Hector, bastard-brother to the duke of Bourbon, with only three hundred men, made an attack on a body of the king's army when foraging, and killed and took many.	engines	1810	machine is agent (purpose/work)	0	0	train
How can the synod of 1638 be so honourably mentioned on this occasion, which prohibited speaking and writing against its views and resolutions, paved the way for the rebellion, and the murder of the king*, and cursed all toleration.  Only the populace and the arrogant clergy vote for the vetot, and abuse their opponents as uncircum cised Philistines, children of Belial, &c. By the veto law the best clergyman is often the most easily re jected, or converted into a machine, who must preach according to the fancy of his hearers.  The conduct of the majority of the Scottish clergy, says the Quarterly Review]:, is inconsistent with the existence of an established Church ; nay, it overturns every constitution.	machine	1842	human as a machine	1	1	train
— Many collieries are now pro vided with the electric light underground, but the system extends only a short distance from the shaft.  The ordinary incandescent light, if worked direct from the dynamo, requires two conducting wires to convey the current, and as illumination is specially required in the working places, it seems improbable that the direct system of lighting as is employed on the surface will ever be used underground.  The working places are naturally moving day by day, falls of roof are common, and as the space is confined, con ducting wires would be quite out of place there.	dynamo	1893	machine is agent (purpose/work)	0	0	train
J.  A. SAFFORD, Manufacturer of BOOT AND SHOE MACHINERY ALSO, paper collar machinery.  Sole, Heel and Counter and Shoe-string Cutters.	machinery	1867	machine is inanimate object without agency	0	0	train
"133 through a perpetual routine; it makes machines of us.""  Now, Mr. Tempest, you are cross and out of temper, or you would not have called me a machine.  ""I dare say I am cross, for I am very much worried ; and when I saw you I thought you would put me in a good temper again, only you cannot give me a minute, because you have more regard for your tea."""	machine	1873	human as a machine	1	1	train
"He was aware that a few boys were really working, that most were pretending to work, and that some were neither working nor pretending to work.  In about half a minute he began to go round, looking at each boy's paper, either making corrections without a word, or saying simply "" neat "" or "" not neat "" or "" done well,"" more as if he were a machine, than as if he expressed any opinion of his own, or gave any commendation in which he expected the boy to whom he spoke to take any pleasure.  When he came to the two boys who were ostentatiously doing nothing, and for whose benefit chiefly he was arranging his behaviour, he passed them by without any notice."	machine	1894	human as a machine	1	1	train
"Captain Column had placed himself on the port rail, just abaft the foremast, and the steering directions were sent aft through a line of officers to the helmsman.  The pilot went on the bridge, and taking the cord attached to the whistle of the engine, made a signal, consisting of several blasts, with irregular intervals between them.  A heavy bell on 6hore sounded several times in answer to the signal. """	engine	1885	machine is inanimate object without agency	0	0	train
But the impor tunate vanity of Louis XIV.  found, in the feebleness of Racine's character, and in the elegance of his genius, a fit engine to con firm that esprit de systeme, which enters into every relation under his government, to dazzle and enslave the dramatic taste of the day ; to conform to the cold severity of the Greek rules; and avoiding all referen ces to national history, to liberty, or go vernment, to weave with the religious and historical fables of antiquity, the characters  154 BOOK VII.	engine	1818	human as a machine	1	1	train
"The captives he only sbgbtly touched on, and the chains and prison were utterly ignored.  The pith of both epistles might be summed up in this brief sentence : "" Procure me the artisans and machinery, those pledges of friendship, and I will prove to you that I am what ab know me to be ‚Äî a clever scoundrel.""  In his interview with Mr. Flad be was more explicit. """	machinery	1868	machine is inanimate object without agency	0	0	train
"As Bolingbroke on the mother's side was related to the Puritans, there is a report that his dislike to Religion arose from a good Presbyterian uncle making the ne phew read a series of dull sermons, on each verse of tbe 119th Psalift, every Sunday evening!  Be this as it may, politicians are too apt to consider religion in no other view than a state-engine, contrived to agitate the fears, and by this means to keep the people in sub jection.  Whilfield somewhere in his works remarks — "" I had the other evening the honour of Lord Boling broke for an auditor ; there he sat in a chair with all the dignity of an Archbishop ; and when I came down from the pulpit after the service, he bowed and said, ' I thank you, Sir ; you have handled the moral attributes of the Deity well !'"	engine	1827	machine as a system	1	1	train
These arrangements were made by the engineer and fireman in much less time than it takes to tell the tale.  It was not necessary for Jakie to slow down in order to allow the wild engine to come up with him ; she was coming up at every revolution of her wheels.  The delicate task which Jakie had to perform was to get a good gait on, so that when the runaway struck him, both engines might still remain on the rail ; and that he proceeded to do.	engine	1897	machine is agent (movement)	1	1	train
""" That man has insulted you,"" said Theodor between his teeth. ""  Have I not told you that the insult you mean does not exist for me ; that it is a business matter, that I am a machine, work ing out my father's plans ?  Can a machine be insulted ?"	machine	1890	human as a machine	1	1	train
His eyes were certainly blue and expressive when he allowed them to be, his hostess thought, and he had the straight, thin, well-indicated nose which she liked, and a sensitive mouth for a man.  His work as part of the great intelligent managing machine of the Government of India overimpressed itself upon the stamp of scholar ship Oxford had left on his face, which had the  ; She seems to be sufficiently entertained.	machine	1896	machine as a system	1	1	train
"Manufacturers of rubber goods, rifles, pistols, bowie knives, etc., can scarcely supply the demand.""  All sorts of labor-saving machines were invented to facil itate the separation of the gold from gravel and soil.  Patented machines, cranks, pumps, overshot wheel attachments, engines, dredges for river-beds, supposed to be full of gold, and even diving-bells, were made and sold."	machines	1882	machine is instrument	0	0	train
That there was a Roman camp on Castlefield, with- in the area of the city, there is no doubt ; that it occupied the site of an earlier British settlement historians have asserted; that it may claim to have been inhabited for nearly eighteen hundred years cannot be disputed ; but this is not all.  Poetic RMS OF THE CITY OF MANCHESTEI legends might seem out of place in a great commercial city ‚Äî the spinning-jenny and the steam-engine have been long known to be inimical to nymphs and fairies ‚Äî but Man chester, for all that, existed when there were giants in the land, and has its place in the life of a hero no less doughty than Sir Launcelot of the Lake.  To quote from a ballad	engine	1891	machine as a human	1	1	train
and sounds of His creation.  Immured in a convent, debarred from life-giving air and light, and the beauty of life, we cease to be living, feeling, thinking girls and women, we become mere machines who blindly obey the head that directs us.  I have often tried to solve this mystery — but I suppose I am too ignorant, for I cannot make it come right.	machines	1880	human as a machine	0	1	train
"The re moval of the former, however, is much easier than the overthrow of the latter, and when removed they are not so likely to return.  Still, before these moral stumps are removed, both time and "" stumping machine "" will have to do their respective work.  In a conversation I had with an old friend of our cause, Mr Naismith of Toronto, he said, "" I was one of the first who stood by John Dunlop, when he began to advocate the cause in Glasgow."	machine	1871	machine is agent (purpose/work)	0	0	train
Fig.  100 shows a Cornish boiler improperly seated with one small side flue and a bottom flue.  The effect of this on a long boiler is to cause springing and leakage of the seams from the heat being applied to one side of the boiler only.	boiler	1893	machine is inanimate object without agency	0	0	train
What a deal of time, trouble, expense, and misery would have been saved to mankind if our legislators had considered more what they were legislating about, those for whom they were legislating, and the effect upon society of their work !  Laws are too apt to be regarded as if intended to supply an income for lawyers, to keep in existence a complicated mass of law courts and legal machinery.  Instead of adding to our laws, the greatest boon to mankind would be for a committee to examine every existing law and cancel all those that are obsolete, or impede the progress, or are detrimental to the interests and freedom, of the individual.	machinery	1883	machine as a system	0	0	train
This settled, the one last embarrass ment left to deal with, was the embarrassment of Mr. Finch.  Now that we were free from all fear of encountering bad cha racters in the house, the boom-boom of the little man's big voice went on unintermittingly, like a machine at work in the neigh bourhood.  I had another of my inspirations — sitting on the floor with Oscar's head on my lap.	machine	1873	human as a machine	1	1	train
dear no, Count Nugent, — she is to remain here whilst I remain — I am to live in her — and, in fine weather, I hope to have the pleasure of taking you and all here on little voyages up and down the coast.  ‚Äî It would be ruinous to the engines to let them stand idle too long.'  ' I should so much like to see the steamer,' said Mrs. Harding, eagerly, — ' I am told she is beautifully fitted up.'	engines	1887	machine is agent (purpose/work)	0	0	train
